,Caenorhabditis_elegans,Neurospora_crassa,Yarrowia_lipolytica,Dictyostelium_discoideum,Eremothecium_coryli
Caenorhabditis_elegans,0.0,0.049472162281207134,0.05188861613772819,0.059261326386862524,0.04030049157624801
Neurospora_crassa,0.049472162281207134,0.0,0.015417251161458086,0.09710219187698853,0.01959105278328758
Yarrowia_lipolytica,0.05188861613772819,0.015417251161458086,0.0,0.10230497158767511,0.022696027855813122
Dictyostelium_discoideum,0.059261326386862524,0.09710219187698853,0.10230497158767511,0.0,0.08912970944984674
Eremothecium_coryli,0.04030049157624801,0.01959105278328758,0.022696027855813122,0.08912970944984674,0.0
